Food_code,Main_food_description,Protein,Total Fat,Carbohydrates,Energy,Alcohol,Water,Caffeine,Theobromine,Sugar,Fiber,Calcium,Iron,Magnesium,Phosphorous,Potassium,Sodium,Zinc,Copper,Selenium,Retinol,Vitamin A,"Carotene, Beta","Carotene, Alpha",Vitamin E,Vitamin D,"Cryptoxanthin, beta",Lycopene,Lutein + zeaxanthin,Vitamin C,Thiamin,Riboflavin,Niacin,VitaminB6,"Folate, Total",Vitamin B-12,"Choline, Total",Vitamin K,Folic Acid,"Folate, Food","Folate, DFE","Vitamin E, added",VitaminB12a,Cholestrol,FattyAcids,607,608,609,610,611,612,613,614,617,618,619,620,621,626,627,628,629,630,631,645,646,Color,MODCODE,DESCRIPTION,F_CITMLB,F_OTHER,F_JUICE,F_TOTAL,V_DRKGR,V_REDOR_TOMATO,V_REDOR_OTHER,V_REDOR_TOTAL,V_STARCHY_POTATO,V_STARCHY_OTHER,V_STARCHY_TOTAL,V_OTHER,V_TOTAL,V_LEGUMES,G_WHOLE,G_REFINED,G_TOTAL,PF_MEAT,PF_CUREDMEAT,PF_ORGAN,PF_POULT,PF_SEAFD_HI,PF_SEAFD_LOW,PF_MPS_TOTAL,PF_EGGS,PF_SOY,PF_NUTSDS,PF_LEGUMES,PF_TOTAL,D_MILK,D_YOGURT,D_CHEESE,D_TOTAL,OILS,SOLID_FATS,ADD_SUGARS,A_DRINKS
24147220,"Chicken, drumstick, coated, baked or fried, prepared with skin, skin/coating not eaten, NS as to type of fat added in cooking",26.9,7.75,0,182,0,64.28,0,0,0,0,12,0.94,20,183,239,544,2.83,0.086,30.6,8,8,0,0,0.67,0.1,0,0,106,0,0.09,0.284,5.695,0.425,3,0.44,60.6,6.1,0,3,3,0,0,125,1.702,0.001,0,0.001,0.004,0.005,0.024,1.226,0.396,2.665,1.906,0.184,0.127,0.009,0.283,0,0.032,0.004,0,0.012,2.997,2.311,#ff4500,206578,"Chicken, drumstick, coated, baked or fried, prepared with skin, skin/coating not eaten W/O FAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.49,0,0,0,0,0,0,0,0
24147220,"Chicken, drumstick, coated, baked or fried, prepared with skin, skin/coating not eaten, NS as to type of fat added in cooking",26.9,7.75,0,182,0,64.28,0,0,0,0,12,0.94,20,183,239,544,2.83,0.086,30.6,8,8,0,0,0.67,0.1,0,0,106,0,0.09,0.284,5.695,0.425,3,0.44,60.6,6.1,0,3,3,0,0,125,1.702,0.001,0,0.001,0.004,0.005,0.024,1.226,0.396,2.665,1.906,0.184,0.127,0.009,0.283,0,0.032,0.004,0,0.012,2.997,2.311,#ff4500,207670,"Chicken, drumstick, coated, baked or fried, prepared with skin, skin/coating not eaten W\ BUTTER, NFS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.39,0,0,0,0,0,2.51,0,0
24147225,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, NS as to skin/coating eaten",21.13,16.92,7.59,267,0,51.92,0,0,0,0.5,24,0.99,22,188,253,591,1.83,0.162,26.2,22,22,0,0,0.33,0.1,0,0,0,0,0.069,0.234,5.209,0.227,21,0.59,66.7,0,12,10,29,0,0,111,4.458,0.003,0.001,0.003,0.005,0.009,0.127,3.117,1.08,5.528,4.052,0.205,0.07,0.004,0.784,0.003,0.062,0.003,0.004,0.006,6.446,4.408,#ff4500,0,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, NS as to skin/coating eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,0,0,,,0,0,0,2.66,0.01,0,0,0.01,6,3.14,0,0
24147230,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, skin/coating eaten",21.13,16.92,7.59,267,0,51.92,0,0,0,0.5,24,0.99,22,188,253,591,1.83,0.162,26.2,22,22,0,0,0.33,0.1,0,0,0,0,0.069,0.234,5.209,0.227,21,0.59,66.7,0,12,10,29,0,0,111,4.458,0.003,0.001,0.003,0.005,0.009,0.127,3.117,1.08,5.528,4.052,0.205,0.07,0.004,0.784,0.003,0.062,0.003,0.004,0.006,6.446,4.408,#ff4500,0,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, skin/coating eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,,0,0,,,0,0,0,2.66,0.01,0,0,0.01,6,3.14,0,0
24147235,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, skin/coating not eaten",26.24,7.41,0,172,0,64.24,0,0,0,0,16,1.03,24,211,291,492,2.5,0.082,32.1,11,11,0,0,0.33,0.1,0,0,0,0,0.079,0.303,5.726,0.272,10,0.74,81,0,0,10,10,0,0,133,2.004,0.002,0.001,0.001,0.003,0.005,0.046,1.412,0.492,2.44,1.453,0.071,0.078,0.004,0.43,0.002,0.028,0.003,0.003,0.007,2.933,1.675,#ff4500,0,"Chicken, drumstick, from fast food, coated, baked or fried, prepared with skin, skin/coating not eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,3.25,0,0,0,0,1,0,0,0
24147240,"Chicken, drumstick, coated, baked or fried, prepared skinless, NS as to coating eaten, fat added in cooking",23.59,12.58,8.05,244,0,54.76,0,0,0.39,0.3,22,1.34,19,175,221,448,2.45,0.088,29.9,19,19,0,0,1.26,0.3,1,0,115,0,0.14,0.309,5.126,0.357,18,0.42,64,11.6,11,7,25,0,0,122,2.401,0.005,0.003,0.003,0.007,0.007,0.033,1.706,0.559,4.672,3.684,0.438,0.112,0.011,0.26,0,0.05,0.003,0,0.01,5,4.317,#ff4500,0,"Chicken, drumstick, coated, baked or fried, prepared skinless, NS as to coating eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0,0,0,,0,0,,,0,0,0,2.71,0.01,0,0,0.01,0,6.84,0,0
24147240,"Chicken, drumstick, coated, baked or fried, prepared skinless, NS as to coating eaten, fat added in cooking",23.59,12.58,8.05,244,0,54.76,0,0,0.39,0.3,22,1.34,19,175,221,448,2.45,0.088,29.9,19,19,0,0,1.26,0.3,1,0,115,0,0.14,0.309,5.126,0.357,18,0.42,64,11.6,11,7,25,0,0,122,2.401,0.005,0.003,0.003,0.007,0.007,0.033,1.706,0.559,4.672,3.684,0.438,0.112,0.011,0.26,0,0.05,0.003,0,0.01,5,4.317,#ff4500,206152,"Chicken, drumstick, coated, baked or fried, prepared skinless, NS as to coating eaten W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0,0,0,,0,0,,,0,0,0,2.71,0.01,0,0,0.01,6.79,0,0,0
24147250,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, NS as to type of fat added in cooking",23.59,12.58,8.05,244,0,54.76,0,0,0.39,0.3,22,1.34,19,175,221,448,2.45,0.088,29.9,19,19,0,0,1.26,0.3,1,0,115,0,0.14,0.309,5.126,0.357,18,0.42,64,11.6,11,7,25,0,0,122,2.401,0.005,0.003,0.003,0.007,0.007,0.033,1.706,0.559,4.672,3.684,0.438,0.112,0.011,0.26,0,0.05,0.003,0,0.01,5,4.317,#ff4500,0,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0,0,0,,0,0,,,0,0,0,2.71,0.01,0,0,0.01,0,6.84,0,0
24147250,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, NS as to type of fat added in cooking",23.59,12.58,8.05,244,0,54.76,0,0,0.39,0.3,22,1.34,19,175,221,448,2.45,0.088,29.9,19,19,0,0,1.26,0.3,1,0,115,0,0.14,0.309,5.126,0.357,18,0.42,64,11.6,11,7,25,0,0,122,2.401,0.005,0.003,0.003,0.007,0.007,0.033,1.706,0.559,4.672,3.684,0.438,0.112,0.011,0.26,0,0.05,0.003,0,0.01,5,4.317,#ff4500,205538,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten W/ VEGETABLE OIL, NFS (INCLUDE OIL, NFS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0,0,0,,0,0,,,0,0,0,2.71,0.01,0,0,0.01,6.79,0,0,0
24147250,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten, NS as to type of fat added in cooking",23.59,12.58,8.05,244,0,54.76,0,0,0.39,0.3,22,1.34,19,175,221,448,2.45,0.088,29.9,19,19,0,0,1.26,0.3,1,0,115,0,0.14,0.309,5.126,0.357,18,0.42,64,11.6,11,7,25,0,0,122,2.401,0.005,0.003,0.003,0.007,0.007,0.033,1.706,0.559,4.672,3.684,0.438,0.112,0.011,0.26,0,0.05,0.003,0,0.01,5,4.317,#ff4500,205937,"Chicken, drumstick, coated, baked or fried, prepared skinless, coating eaten W/O FAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,,0,0,,,0,0,0,2.91,0.01,0,0,0.01,0,0,0,0
